id,full_name,first_name,last_name,is_active
1629630,Ja Morant,Ja,Morant,TRUE
1629060,Rui Hachimura,Rui,Hachimura,TRUE
1629023,P.J. Washington,P.J.,Washington,TRUE
1629634,Brandon Clarke,Brandon,Clarke,TRUE
1629680,Matisse Thybulle,Matisse,Thybulle,TRUE
1629628,RJ Barrett,RJ,Barrett,TRUE
1629627,Zion Williamson,Zion,Williamson,TRUE
1629675,Naz Reid,Naz,Reid,TRUE
1629632,Coby White,Coby,White,TRUE
1629639,Tyler Herro,Tyler,Herro,TRUE
1629626,Bol Bol,Bol,Bol,TRUE
1630163,LaMelo Ball,LaMelo,Ball,TRUE
