name,position,current_team,until
Damien Williams,RB,KAN,17
Derrius Guice,RB,WAS,17
Marlon Mack,RB,IND,17
Antonio Brown,WR,NWE,17
Blake Jarwin,TE,DAL,17
Bo Scarbrough,RB,DET,4
Brandon Allen,QB,CIN,17
Brett Maher,K,WAS,17
Cam Phillips,WR,CAR,17
Chandler Catanzaro,K,NYG,17
Chase McLaughlin,K,IND,17
Cody Hollister,WR,TEN,17
Cody Latimer,WR,WAS,17
Damien Harris,RB,NWE,4
Darvin Kidsy,WR,WAS,17
David Njoku,TE,CLE,5
Deebo Samuel,WR,SFO,4
Deontay Burnett,WR,PHI,17
Devin Smith,WR,DAL,17
Devine Ozigbo,RB,JAX,5
Dexter Williams,RB,GNB,17
Duke Williams,WR,BUF,17
Ed Dickson,TE,SEA,17
Elijah McGuire,RB,KAN,17
Gehrig Dieter,WR,KAN,17
Greg Dortch,WR,LAR,17
Hale Hentges,TE,WAS,17
Ishmael Hyman,WR,CAR,17
Jason Vander Laan,TE,NOR,17
Jeff Heuerman,TE,DEN,17
John Ursua,WR,SEA,17
Jonathan Williams,RB,DET,17
Jordan Thomas,TE,ARI,17
Josh Doctson,WR,NYJ,17
Josh Gordon,WR,SEA,17
Josh Oliver,TE,JAX,17
Joshua Perkins,TE,PHI,17
Kai Forbath,K,DAL,17
Keith Kirkwood,WR,CAR,17
Kenneth Dixon,RB,NYJ,17
Lamar Miller,RB,NWE,4
Le'Veon Bell,RB,NYJ,4
Lil'Jordan Humphrey,WR,NOR,17
Marcus Johnson,WR,IND,17
Marshawn Lynch,RB,SEA,17
Matt Flanagan,TE,JAX,17
Matt Gay,K,TAM,17
Michael Roberts,TE,DET,17
Michael Thomas,WR,NOR,6
Nick Folk,K,NWE,17
Rashaad Penny,RB,SEA,6
Rashard Davis,WR,TEN,17
Spencer Ware,RB,KAN,17
Tanner Hudson,TE,TAM,17
Trevor Siemian,QB,TEN,17
Tyrell Williams,WR,OAK,17
Ventell Bryant,WR,DAL,17
Victor Bolden,WR,DET,17
Wes Hills,RB,DET,17
Adam Vinatieri,K,IND,17
Alexander Hollins,WR,MIN,17
Ben Koyack,TE,JAX,17
Cairo Santos,K,CHI,17
Cam Sims,WR,WAS,17
Corey Coleman,WR,NYG,17
Cyril Grayson,WR,TAM,17
Da'Mari Scott,WR,NYG,17
Dalyn Dawkins,RB,TEN,17
Darius Jackson,RB,IND,17
Darrius Shepherd,WR,GNB,17
David Fales,QB,NYJ,17
De'Lance Turner,RB,MIA,17
DeAndrew White,WR,BAL,17
Demaryius Thomas,WR,NYJ,17
Devin Funchess,WR,GNB,17
Dwayne Harris,WR,OAK,17
Erik Swoope,TE,SFO,17
Fred Brown,WR,DEN,17
Isaac Nauta,TE,DET,17
Isaiah Crowell,RB,OAK,17
J'Mon Moore,WR,CLE,17
Jaleel Scott,WR,NYJ,17
Jaron Brown,WR,SFO,17
Jeff Smith,WR,NYJ,5
Jeremy McNichols,RB,TEN,17
Jermaine Kearse,WR,DET,17
John Kelly,RB,CLE,17
Jordan Matthews,WR,SFO,17
Jordan Scarlett,RB,CAR,17
Josh Adams,RB,NYJ,2
Josh Ferguson,RB,WAS,17
Josh Malone,WR,NYJ,17
Kerrith Whyte Jr,RB,DET,17
Kevin White,WR,SFO,17
Krishawn Hogan,WR,TEN,17
Lance Lenoir,WR,SEA,17
Marquise Goodwin,WR,PHI,17
Quadree Henderson,WR,PIT,17
Quincy Enunwa,WR,NYJ,17
Robert Foster,WR,GNB,17
Ross Travis,TE,NYJ,17
Russell Shepard,WR,NYG,17
Shaun Wilson,RB,TEN,17
Shelton Gibson,WR,WAS,17
Spencer Schnell,WR,TAM,17
Temarrick Hemingway,TE,CAR,17
Tevin Jones,WR,DAL,17
Theo Riddick,RB,OAK,17
Tommy Sweeney,TE,BUF,17
Tony Brooks-James,RB,MIN,17
Travis Fulgham,WR,PHI,17
Trey Burton,TE,IND,5
Tyrone Swoopes,TE,PHI,17
Adam Vinatieri,K,TEN,17
Albert Wilson,WR,MIA,17
Aldrick Rosas,K,NYG,17
Alex Tanney,QB,NYG,17
Allen Hurns,WR,MIA,17
Andy Jones,WR,DET,17
Austin Carr,WR,NOR,17
Ben Braunecker,TE,CHI,17
Brett Maher,K,NYJ,17
Cameron Batson,WR,TEN,17
Chandler Catanzaro,K,CAR,17
Charone Peake,WR,NYJ,17
Chris Lacy,WR,DET,17
Clive Walford,TE,MIA,17
Cody Latimer,WR,NYG,17
Dalyn Dawkins,RB,NOR,17
Darius Jackson,RB,DAL,17
David Blough,QB,DET,17
DeShone Kizer,QB,GNB,17
Devin Funchess,WR,IND,17
Donte Moncrief,WR,LAR,17
Eddy Pineiro,K,CHI,4
Eric Saubert,TE,CHI,17
Geremy Davis,WR,DET,17
Greg Dortch,WR,CAR,17
Greg Joseph,K,TEN,17
Gunner Olszewski,WR,NWE,4
Isaiah Crowell,RB,NYJ,17
Jaleel Scott,WR,BAL,17
Jason Croom,TE,BUF,17
Jehu Chesson,WR,NYJ,17
Jermaine Kearse,WR,NYJ,17
John Kelly,RB,LAR,17
Jon Hilliman,RB,NYG,17
Jordan Leggett,TE,NYJ,17
Jordan Matthews,WR,PHI,17
Jordan Thomas,TE,HOU,17
Josh Doctson,WR,WAS,17
Keelan Doss,WR,OAK,17
Kelvin Harmon,WR,WAS,17
Kenneth Dixon,RB,CLE,17
Kerrith Whyte Jr,RB,PIT,17
Kyle Lauletta,QB,NYG,17
Lance Kendricks,TE,LAC,17
Lance Lenoir,WR,DAL,17
Marcell Ateman,WR,OAK,17
Marcus Mariota,QB,OAK,6
Marcus Murphy,RB,BUF,17
Marqise Lee,WR,JAX,17
Matt LaCosse,TE,NWE,17
Matt Lengel,TE,CIN,17
Maurice Harris,WR,WAS,17
Nick Bawden,RB,DET,17
Nick O'Leary,TE,OAK,17
Paul Richardson,WR,WAS,17
Quadree Henderson,WR,NYG,17
Reggie Bonnafon,RB,CAR,17
River Cracraft,WR,SFO,17
Robert Foster,WR,BUF,17
Seth Devalve,TE,JAX,17
Shaun Wilson,RB,TAM,17
Shelton Gibson,WR,PHI,17
Stephen Hauschka,K,BUF,17
Tavon Austin,WR,SFO,17
Taywan Taylor,WR,CLE,17
Trevor Davis,WR,CHI,17
Vyncint Smith,WR,NYJ,6
Xavier Grimble,TE,IND,17
