player_id,name,position,current_team
IvieJo00,Joey Ivie,DT,KAN
CockRo00,Russell Cockrell,CB,CAR
FowlDa00,Dante Fowler,OLB,LAR
RichPa01,Paul Richardson,WR,WAS
MoneBr00,Bryan Mone,DT,SEA
BurrBe00,Ben Burr-Kirven,LB,SEA
vinatada01,Adam Vinatieri,K,IND
gouldrob01,Robbie Gould,K,SFO
FlacJo00,Joe Flacco,QB,DEN
CowaBy00,Byron Cowart,DL,NWE
StroKe00,Kevin Strong,DT,DET
AlShAz00,Azeez Al-Shaair,LB,SFO
ThomSi00,Simeon Thomas,CB,WAS
bryanmat01,Matt Bryant,K,ATL
KekeKi00,Kingsley Keke,DL,GNB
HarrJo05,Jonathan Harris,DE,CHI
HumpLi01,Lil'Jordan Humphrey,WR,NOR
nugenmik01,Mike Nugent,K,NWE
TaylSh00,Shakial Taylor,CB,IND
BarrAl00,Alex Barrett,DE,DET
dawsophi01,Phil Dawson,K,ARI
CanaKa00,Kameron Canaday,LS,PIT
barthco01,Connor Barth,K,CHI
JarrTy00,Tyrique Jarrett,DT,DEN
KreiCa00,Casey Kreiter,LS,DEN
novaknic01,Nick Novak,K,LAC
BighAd00,Adam Bighill,LB,NOR
OttxTy00,Tyler Ott,LS,SEA
HartDe01,Derek Hart,LS,GNB
BillJa00,Jace Billingsley,WR,DET
GrasHr00,Hroniss Grasu,C,TEN
GracJe00,Jermaine Grace,LB,ATL
VandJa00,Jason Vander Laan,TE,IND
WhitIs00,Isaac Whitney,WR,HOU
SambTy00,Ty Sambrailo,OT,ATL
CowaRa00,Rashaad Coward,DT,CHI
PeteOt00,Otha Peters,LB,WAS
HolmGa00,Gabe Holmes,TE,ARI
SmitFi00,Fish Smithson,S,BAL
QvalBr01,Brent Qvale,T,NYJ
BundMa00,Marquis Bundy,WR,NYG
MurpRy00,Ryan Murphy,FS,NYG
BrenK.00,K.J. Brent,WR,IND
WillMa09,Marquez Williams,RB,CLE
HolbCo00,Colin Holba,LS,SFO
JeanSt00,Stanley Jean-Baptiste,CB,BAL
janikseb01,Sebastian Janikowski,K,SEA
PittJa00,Jamiyus Pittman,DT,MIA
LoveMi00,Mike Love,DE,BUF
LeavDa00,Dallin Leavitt,S,OAK
LacyCh00,Chris Lacy,WR,DET
HemiTe00,Temarrick Hemingway,TE,DEN
TasiPa00,Pasoni Tasini,DT,ARI
FostD.01,D.J. Foster,RB,ARI
ScotNi01,Nick Scott,S,LAR
HuggAl01,Albert Huggins,DT,PHI
MitcSt02,Steven Mitchell,WR,HOU
CarlSt00,Stephen Carlson,TE,CLE
JohnIs02,Isaiah Johnson,CB,OAK
BeexRy00,Ryan Bee,DE,WAS
BryaAu00,Austin Bryant,DE,DET
VanGAn00,Andrew Van Ginkel,LB,MIA
BuggIs00,Isaiah Buggs,DL,PIT
HorsJe00,Jesper Horsted,WR,CHI
WillGe02,Gerald Willis,DT,MIA
ZaccOl01,Olamide Zaccheaus,WR,ATL
