name,new_name,similarity
Kerrith Whyte Jr.,Kerrith Whyte Jr,0.96969697
Will Fuller V,Will Fuller,0.916666667
Seth DeValve,Seth Devalve,0.916666667
DK Metcalf,D.K. Metcalf,0.909090909
Josh Dobbs,Joshua Dobbs,0.909090909
Phillip Dorsett II,Phillip Dorsett,0.909090909
JoJo Natson,Jojo Natson,0.909090909
Allen Robinson II,Allen Robinson,0.903225806
Darrell Henderson Jr.,Darrell Henderson,0.894736842
DJ Moore,D.J. Moore,0.888888889
Willie Snead IV,Willie Snead,0.888888889
Paul Richardson Jr.,Paul Richardson,0.882352941
Todd Gurley II,Todd Gurley,0.88
Mark Ingram II,Mark Ingram,0.88
Dwayne Haskins Jr.,Dwayne Haskins,0.875
Melvin Gordon III,Melvin Gordon,0.866666667
Wayne Gallman Jr.,Wayne Gallman,0.866666667
Marvin Jones Jr.,Marvin Jones,0.857142857
Lance Lenoir Jr.,Lance Lenoir,0.857142857
Richie James Jr.,Richie James,0.857142857
Steven Sims Jr.,Steven Sims,0.846153846
Jeff Wilson Jr.,Jeff Wilson,0.846153846
John Ross III,John Ross,0.818181818
DJ Chark Jr.,DJ Chark,0.8
