team,index,week,points_avg,wins_avg,playoffs,playoff_bye,winner,runner_up,third,wins_stdev,points_stdev,per_game_avg,per_game_stdev,per_game_fano,earnings,as_of
DJ Chark do do dooo,503.0,91.0,1541.0,8.843,0.9437,0.6443,0.3396,0.2048,0.1929,1.61,85.7,118.5,24.4,0.206,352.41,1
Rollin' with Mahomes,516.0,91.0,1462.2,7.905,0.8334,0.3828,0.1936,0.1752,0.1649,1.714,81.4,112.5,23.6,0.21,223.93,1
The Big Heads,514.0,91.0,1426.3,7.506,0.7738,0.2695,0.171,0.1568,0.1533,1.728,66.6,109.7,19.4,0.177,199.17,1
Sunday ShNoz,507.0,91.0,1404.6,7.571,0.7564,0.2656,0.1131,0.1371,0.1404,1.733,82.3,108.0,23.2,0.215,145.65,1
69ers,479.0,91.0,1352.4,6.828,0.5923,0.1336,0.0543,0.0879,0.0868,1.77,69.0,104.0,20.0,0.192,78.49,1
Kiss'in Cousins,509.0,91.0,1345.6,6.386,0.4911,0.1054,0.046,0.0719,0.0732,1.792,90.5,103.5,25.2,0.244,65.69,1
Football Cream,511.0,91.0,1343.0,6.243,0.4607,0.0754,0.0377,0.0604,0.067,1.714,68.9,103.3,19.7,0.19,54.98,1
The Sofa Kings,510.0,91.0,1312.9,5.668,0.3198,0.0397,0.0188,0.0339,0.0393,1.724,62.0,101.0,17.7,0.175,29.14,1
Crotch de Fuego,497.0,91.0,1245.7,5.158,0.1941,0.0165,0.0069,0.0168,0.0204,1.694,74.6,95.8,20.9,0.218,12.6,1
Wankstas,505.0,91.0,1243.9,5.232,0.2026,0.0212,0.0068,0.017,0.0205,1.709,73.8,95.7,20.6,0.215,12.59,1
All About the D,487.0,91.0,1239.5,5.338,0.2209,0.0237,0.0063,0.0199,0.0195,1.737,68.7,95.3,19.4,0.204,12.96,1
4Nette Finga Bangerz,468.0,91.0,1224.9,5.321,0.2112,0.0223,0.0059,0.0183,0.0218,1.73,77.0,94.2,21.2,0.225,12.39,1
