avg_pick,avg_round,full_name,pct_drafted,yahoo_team
1.7,1.1,Trea Turner,100,LAD
3.6,1.1,Vladimir Guerrero Jr.,100,Tor
3.7,1.1,Juan Soto,100,Was
5.4,1.1,Bo Bichette,100,Tor
5.6,1.1,José Ramírez,100,Cle
8.5,1.2,Gerrit Cole,100,NYY
9.7,1.2,Mookie Betts,100,LAD
10.5,1.3,Bryce Harper,100,Phi
11.2,1.4,Corbin Burnes,100,Mil
12.0,1.5,Shohei Ohtani (Batter),100,LAA
12.0,1.6,Mike Trout,100,LAA
12.8,1.5,Ronald Acuña Jr.,100,Atl
13.6,1.8,Freddie Freeman,100,LAD
15.6,1.9,Kyle Tucker,100,Hou
16.2,2.0,Rafael Devers,100,Bos
16.2,2.0,Max Scherzer,100,NYM
17.5,2.1,Walker Buehler,100,LAD
18.8,2.2,Jacob deGrom,100,NYM
20.3,2.3,Luis Robert,100,CWS
22.5,2.4,Ozzie Albies,100,Atl
23.8,2.6,Brandon Woodruff,100,Mil
24.0,2.7,Fernando Tatis Jr.,100,SD
24.1,2.6,Yordan Alvarez,100,Hou
25.5,2.7,Starling Marte,100,NYM
26.7,2.9,Manny Machado,100,SD
28.2,3.0,Shane Bieber,100,Cle
28.2,3.0,Aaron Judge,100,NYY
29.0,3.1,Xander Bogaerts,100,Bos
30.1,3.1,Tim Anderson,100,CWS
31.2,3.3,Matt Olson,100,Atl
32.3,3.4,Julio Urías,100,LAD
34.0,3.5,Marcus Semien,100,Tex
34.8,3.6,Salvador Perez,100,KC
35.2,3.6,Whit Merrifield,100,KC
36.7,3.8,Teoscar Hernández,100,Tor
38.5,3.9,Zack Wheeler,100,Phi
38.8,3.9,Trevor Story,100,Bos
38.8,3.9,Josh Hader,100,Mil
41.5,4.2,Francisco Lindor,100,NYM
42.6,4.3,Wander Franco,100,TB
42.7,4.3,Lucas Giolito,100,CWS
42.7,4.3,Cedric Mullins,100,Bal
43.6,4.4,Liam Hendriks,100,CWS
43.7,4.4,Austin Riley,100,Atl
46.0,4.6,Paul Goldschmidt,100,StL
47.4,4.7,Aaron Nola,100,Phi
47.8,4.7,Nick Castellanos,100,Phi
51.2,5.1,Nolan Arenado,100,StL
52.0,5.1,Robbie Ray,100,Sea
53.4,5.2,Randy Arozarena,100%,TB
53.4,5.2,Eloy Jiménez,100,CWS
54.4,5.4,Pete Alonso,100,NYM
54.7,5.3,Sandy Alcantara,100,Mia
55.6,5.4,Jose Altuve,100,Hou
56.2,5.5,Lance Lynn,100,CWS
59.2,5.7,George Springer,100,Tor
59.9,5.8,J.D. Martinez,100,Bos
60.1,5.8,José Abreu,100,CWS
62.9,6.0,Alex Bregman,100,Hou
63.1,6.1,Javier Báez,100,Det
63.5,6.1,Freddy Peralta,100,Mil
63.8,6.1,Byron Buxton,100,Min
65.4,6.2,Adalberto Mondesi,100,KC
65.6,6.3,Kevin Gausman,100,Tor
67.4,6.5,Max Fried,100,Atl
67.9,6.5,Kris Bryant,100,Col
67.9,6.5,Corey Seager,100,Tex
71.8,6.8,Giancarlo Stanton,100,NYY
72.2,6.9,J.T. Realmuto,100,Phi
73.1,6.9,José Berríos,100,Tor
75.0,7.1,Carlos Correa,100,Min
75.4,7.1,Tyler O'Neill,100,StL
75.6,7.0,Shohei Ohtani (Pitcher),100,LAA
75.9,7.2,Brandon Lowe,100,TB
77.3,7.3,Will Smith,100,LAD
77.5,7.3,Raisel Iglesias,100,LAA
79.2,7.5,Christian Yelich,100,Mil
83.3,7.8,Jazz Chisholm Jr.,100,Mia
83.6,7.8,Anthony Rendon,100,LAA
83.6,7.8,Chris Sale,100,Bos
85.3,8.0,Charlie Morton,100,Atl
85.6,8.0,Aroldis Chapman,100,NYY
86.8,8.1,Joe Musgrove,100,SD
89.2,8.3,Jonathan India,100,Cin
89.4,8.4,Ketel Marte,100,Ari
89.8,8.4,Frankie Montas,100,Oak
90.2,8.4,Cody Bellinger,100,LAD
90.3,8.4,Carlos Rodón,100,SF
91.3,8.5,Luis Castillo,100,Cin
91.9,8.6,Yu Darvish,100,SD
92.8,8.7,Emmanuel Clase,100,Cle
94.5,8.8,Logan Webb,100,SF
95.0,8.9,Ryan Pressly,100,Hou
96.2,8.9,DJ LeMahieu,100,NYY
96.7,9.0,Jorge Polanco,100,Min
96.7,9.0,Alek Manoah,100,Tor
97.9,9.1,Mitch Haniger,100,Sea
99.1,9.2,Bryan Reynolds,100,Pit
101.3,9.4,Jared Walsh,100,LAA
102.8,9.6,Jordan Romano,100%,Tor
103.2,9.5,Jesse Winker,100,Sea
104.7,9.7,Edwin Díaz,100,NYM
105.0,9.7,Trevor Rogers,100,Mia
105.7,9.7,Dylan Cease,100,CWS
106.6,9.8,Jack Flaherty,100,StL
108.1,10.0,Max Muncy,100,LAD
108.3,10.0,Kenley Jansen,100,Atl
108.6,10.1,Clayton Kershaw,100,LAD
108.9,10.0,Franmil Reyes,100,Cle
110.2,10.2,Giovanny Gallegos,100,StL
112.2,10.4,Shane McClanahan,100,TB
113.7,10.4,Kyle Schwarber,100,Phi
114.3,10.5,Ryan Mountcastle,100,Bal
114.4,10.5,Bobby Witt Jr.,100,KC
117.5,10.8,Blake Snell,100,SD
117.8,10.9,Chris Bassitt,100,NYM
119.6,11.0,Justin Verlander,100,Hou
121.0,11.0,Nelson Cruz,100,Was
121.6,11.1,Tommy Edman,100,StL
123.2,11.2,Dansby Swanson,100,Atl
125.9,11.5,Austin Meadows,100,TB
128.6,11.7,Chris Taylor,100,LAD
128.6,11.8,Blake Treinen,100,LAD
128.9,11.8,Yasmani Grandal,100,CWS
129.3,11.8,Jake Cronenworth,100,SD
130.4,11.9,Matt Chapman,100,Tor
132.1,12.0,Willson Contreras,100,ChC
133.1,12.2,Framber Valdez,100,Hou
134.5,12.2,Trent Grisham,100,SD
134.7,12.3,Pablo López,100,Mia
135.4,12.3,C.J. Cron,100,Col
136.5,12.4,Tyler Mahle,100,Cin
136.6,12.5,Ian Anderson,100,Atl
137.1,12.5,Yoán Moncada,100,CWS
138.1,12.6,Josh Bell,100,Was
139.1,12.7,Sonny Gray,100,Min
141.3,12.7,Rhys Hoskins,100,Phi
142.5,12.9,Zac Gallen,100,Ari
144.2,13.2,Mark Melancon,100,Ari
144.3,13.1,Justin Turner,100,LAD
145.2,13.2,Lourdes Gurriel Jr.,100,Tor
147.2,13.5,Will Smith,93,Atl
148.9,13.6,Luis Garcia,100,Hou
150.0,13.6,Nathan Eovaldi,100,Bos
150.3,13.6,Eduardo Rodriguez,100,Det
152.0,13.7,Joey Gallo,100,NYY
153.3,13.9,Sean Manaea,100,Oak
154.5,14.0,Mike Clevinger,100,SD
156.1,14.2,Jake McGee,97,SF
156.8,14.2,Dylan Carlson,100%,StL
157.4,14.2,Anthony Rizzo,100,NYY
159.5,14.5,Adam Wainwright,100,StL
159.6,14.6,Scott Barlow,100,KC
164.4,14.8,Daulton Varsho,100,Ari
165.0,14.9,Ty France,100,Sea
165.1,15.0,Yuli Gurriel,100,Hou
165.8,15.0,Michael Kopech,100,CWS
166.2,14.9,Michael Conforto,99,NYM
166.2,15.0,Alex Verdugo,100,Bos
166.6,15.0,Willy Adames,100,Mil
169.2,15.3,Ryan McMahon,100,Col
170.5,15.4,Michael Brantley,100,Hou
170.9,15.5,Corey Knebel,100,Phi
171.4,15.4,Avisaíl García,100,Mia
172.4,15.5,Jarred Kelenic,100,Sea
172.7,15.5,Jorge Soler,100,Mia
173.3,15.6,Gleyber Torres,100,NYY
174.1,15.6,Joey Votto,100,Cin
175.4,15.8,Logan Gilbert,100,Sea
175.8,15.9,José Urquidy,100,Hou
176.6,15.7,Seiya Suzuki,51,ChC
