avg_pick,avg_round,name,position,yahoo_team
1.1,1.0916666666666668,Jonathan Taylor,RB,Ind
3.9,1.325,Cooper Kupp,WR,LAR
3.9,1.325,Austin Ekeler,RB,LAC
4.8,1.4,Christian McCaffrey,RB,Car
5.0,1.4166666666666667,Derrick Henry,RB,Ten
6.0,1.5,Justin Jefferson,WR,Min
6.4,1.5333333333333332,Dalvin Cook,RB,Min
9.0,1.75,Ja'Marr Chase,WR,Cin
9.0,1.75,Najee Harris,RB,Pit
10.9,1.9083333333333332,Joe Mixon,RB,Cin
12.5,2.041666666666667,Stefon Diggs,WR,Buf
13.8,2.1500000000000004,Davante Adams,WR,LV
14.6,2.216666666666667,Nick Chubb,RB,Cle
14.8,2.2333333333333334,Aaron Jones,RB,GB
16.8,2.4000000000000004,Travis Kelce,TE,KC
17.7,2.4749999999999996,CeeDee Lamb,WR,Dal
18.2,2.5166666666666666,D'Andre Swift,RB,Det
20.3,2.6916666666666664,Leonard Fournette,RB,TB
20.3,2.6916666666666664,Deebo Samuel,WR,SF
20.5,2.708333333333333,Josh Allen,QB,Buf
21.7,2.8083333333333336,Mike Evans,WR,TB
21.7,2.8083333333333336,Alvin Kamara,RB,NO
22.3,2.8583333333333334,Saquon Barkley,RB,NYG
23.8,2.9833333333333334,Javonte Williams,RB,Den
24.7,3.058333333333333,Mark Andrews,TE,Bal
25.0,3.0833333333333335,Tyreek Hill,WR,Mia
29.6,3.466666666666667,Ezekiel Elliott,RB,Dal
30.1,3.5083333333333333,Tee Higgins,WR,Cin
30.5,3.5416666666666665,Keenan Allen,WR,LAC
31.8,3.65,James Conner,RB,Ari
32.7,3.725,Michael Pittman Jr.,WR,Ind
34.0,3.8333333333333335,A.J. Brown,WR,Phi
35.8,3.983333333333333,Cam Akers,RB,LAR
35.8,3.983333333333333,Patrick Mahomes,QB,KC
36.8,4.066666666666666,David Montgomery,RB,Chi
38.1,4.175000000000001,Justin Herbert,QB,LAC
39.4,4.283333333333333,Kyle Pitts,TE,Atl
40.6,4.383333333333333,DJ Moore,WR,Car
41.4,4.449999999999999,Breece Hall,RB,NYJ
42.2,4.5166666666666675,Eli Mitchell,RB,SF
43.6,4.633333333333333,Terry McLaurin,WR,Was
43.6,4.633333333333333,Antonio Gibson,RB,Was
44.1,4.675000000000001,Jaylen Waddle,WR,Mia
44.1,4.675000000000001,Lamar Jackson,QB,Bal
44.8,4.7333333333333325,George Kittle,TE,SF
47.5,4.958333333333334,Darren Waller,TE,LV
48.2,5.016666666666667,Mike Williams,WR,LAC
48.2,5.016666666666667,Josh Jacobs,RB,LV
48.3,5.0249999999999995,Diontae Johnson,WR,Pit
51.3,5.2749999999999995,Travis Etienne Jr.,RB,Jax
52.5,5.375,Courtland Sutton,WR,Den
52.9,5.408333333333333,Joe Burrow,QB,Cin
55.9,5.658333333333333,J.K. Dobbins,RB,Bal
56.1,5.675,DK Metcalf,WR,Sea
56.6,5.716666666666667,Dalton Schultz,TE,Dal
58.5,5.875,Kyler Murray,QB,Ari
58.7,5.891666666666667,Allen Robinson II,WR,LAR
62.2,6.183333333333334,AJ Dillon,RB,GB
63.1,6.258333333333334,Jalen Hurts,QB,Phi
63.4,6.283333333333333,Tom Brady,QB,TB
66.2,6.516666666666667,Jerry Jeudy,WR,Den
67.0,6.583333333333333,JuJu Smith-Schuster,WR,KC
67.2,6.6000000000000005,T.J. Hockenson,TE,Det
67.9,6.658333333333334,Damien Harris,RB,NE
67.9,6.658333333333334,Dallas Goedert,TE,Phi
69.8,6.816666666666666,Buffalo,DEF,Buf
72.8,7.066666666666666,Gabriel Davis,WR,Buf
73.5,7.125,Brandin Cooks,WR,Hou
73.7,7.141666666666667,Clyde Edwards-Helaire,RB,KC
74.2,7.183333333333334,Russell Wilson,QB,Den
75.0,7.25,Miles Sanders,RB,Phi
75.9,7.325,Marquise Brown,WR,Ari
77.7,7.4750000000000005,Dak Prescott,QB,Dal
78.0,7.5,Amari Cooper,WR,Cle
78.2,7.516666666666667,Amon-Ra St. Brown,WR,Det
78.4,7.533333333333334,Devin Singletary,RB,Buf
80.3,7.691666666666666,Dawson Knox,TE,Buf
80.6,7.716666666666666,Justin Tucker,K,Bal
82.1,7.841666666666666,Tampa Bay,DEF,TB
82.7,7.891666666666667,Michael Thomas,WR,NO
84.0,8.0,San Francisco,DEF,SF
85.6,8.133333333333333,Rashod Bateman,WR,Bal
86.1,8.175,Adam Thielen,WR,Min
87.0,8.25,Rashaad Penny,RB,Sea
88.2,8.350000000000001,Evan McPherson,K,Cin
89.5,8.458333333333332,Aaron Rodgers,QB,GB
90.3,8.524999999999999,Matthew Stafford,QB,LAR
91.4,8.616666666666667,Zach Ertz,TE,Ari
92.1,8.675,Kareem Hunt,RB,Cle
92.8,8.733333333333334,Los Angeles,DEF,LAR
92.9,8.741666666666667,Chase Edmonds,RB,Mia
93.1,8.758333333333333,Chris Godwin,WR,TB
94.2,8.850000000000001,Tony Pollard,RB,Dal
94.4,8.866666666666667,Darnell Mooney,WR,Chi
94.5,8.875,Tyler Bass,K,Buf
95.1,8.925,Cordarrelle Patterson,RB,Atl
95.8,8.983333333333334,Rhamondre Stevenson,RB,NE
96.4,9.033333333333333,Melvin Gordon III,RB,Den
97.1,9.091666666666667,Hunter Renfrow,WR,LV
97.5,9.125,DeAndre Hopkins,WR,Ari
98.8,9.233333333333333,Elijah Moore,WR,NYJ
99.3,9.275,Indianapolis,DEF,Ind
102.7,9.558333333333334,Kenneth Walker III,RB,Sea
105.0,9.75,Daniel Carlson,K,LV
105.2,9.766666666666667,Trey Lance,QB,SF
105.5,9.791666666666666,Brandon Aiyuk,WR,SF
107.4,9.950000000000001,Matt Gay,K,LAR
108.5,10.041666666666666,Allen Lazard,WR,GB
108.9,10.075000000000001,DeVonta Smith,WR,Phi
109.2,10.1,Derek Carr,QB,LV
109.6,10.133333333333333,Tyler Lockett,WR,Sea
111.2,10.266666666666667,James Cook,RB,Buf
111.3,10.275,Pat Freiermuth,TE,Pit
112.3,10.358333333333333,Harrison Butker,K,KC
112.8,10.4,Denver,DEF,Den
117.7,10.808333333333334,Kirk Cousins,QB,Min
118.3,10.858333333333333,Ronald Jones II,RB,KC
118.6,10.883333333333333,New Orleans,DEF,NO
119.2,10.933333333333334,Rob Gronkowski,TE,TB
120.4,11.033333333333333,Mike Gesicki,TE,Mia
120.6,11.049999999999999,Marlon Mack,RB,Hou
120.9,11.075000000000001,Christian Kirk,WR,Jax
121.7,11.141666666666667,Russell Gage,WR,TB
121.7,11.141666666666667,Drake London,WR,Atl
121.9,11.158333333333333,Albert Okwuegbunam,TE,Den
123.1,11.258333333333333,James Robinson,RB,Jax
123.8,11.316666666666666,Darrell Henderson Jr.,RB,LAR
124.1,11.341666666666667,Robert Woods,WR,Ten
124.1,11.341666666666667,Michael Carter,RB,NYJ
124.1,11.341666666666667,George Pickens,WR,Pit
124.2,11.35,Julio Jones,WR,TB
124.4,11.366666666666667,Los Angeles,DEF,LAC
124.7,11.391666666666667,Dameon Pierce,RB,Hou
124.7,11.391666666666667,Baker Mayfield,QB,Car
124.7,11.391666666666667,Younghoe Koo,K,Atl
124.8,11.4,Dallas,DEF,Dal
124.9,11.408333333333333,Alexander Mattison,RB,Min
125.4,11.450000000000001,Zach Wilson,QB,NYJ
125.5,11.458333333333334,Green Bay,DEF,GB
125.5,11.458333333333334,Carson Wentz,QB,Was
126.0,11.5,Chase Claypool,WR,Pit
126.0,11.5,Greg Joseph,K,Min
126.3,11.525,Mac Jones,QB,NE
126.5,11.541666666666666,Cameron Brate,TE,TB
126.7,11.558333333333334,Chris Olave,WR,NO
126.9,11.575000000000001,Raheem Mostert,RB,Mia
127.1,11.591666666666667,Hunter Henry,TE,NE
127.3,11.608333333333333,Ryan Tannehill,QB,Ten
127.4,11.616666666666667,Greg Zuerlein,K,NYJ
127.5,11.625,Tua Tagovailoa,QB,Mia
127.5,11.625,Deshaun Watson,QB,Cle
127.7,11.641666666666667,Kadarius Toney,WR,NYG
127.7,11.641666666666667,Las Vegas,DEF,LV
127.9,11.658333333333333,Mecole Hardman,WR,KC
128.0,11.666666666666666,Nyheim Hines,RB,Ind
128.0,11.666666666666666,Robbie Gould,K,SF
128.1,11.674999999999999,Nick Folk,K,NE
128.4,11.700000000000001,Sony Michel,RB,Mia
128.4,11.700000000000001,Sammy Watkins,WR,GB
128.8,11.733333333333334,Mark Ingram II,RB,NO
128.9,11.741666666666667,Odell Beckham Jr.,WR,LAR
129.0,11.75,Jarvis Landry,WR,NO
129.0,11.75,Garrett Wilson,WR,NYJ
129.3,11.775,Baltimore,DEF,Bal
129.4,11.783333333333333,Kenny Golladay,WR,NYG
129.5,11.791666666666666,Justin Fields,QB,Chi
129.5,11.791666666666666,Jalen Tolbert,WR,Dal
129.7,11.808333333333332,Rachaad White,RB,TB
129.8,11.816666666666668,DeVante Parker,WR,NE
129.8,11.816666666666668,Jared Goff,QB,Det
129.8,11.816666666666668,Hayden Hurst,TE,Cin
129.8,11.816666666666668,Chris Boswell,K,Pit
130.0,11.833333333333334,Tyler Boyd,WR,Cin
130.1,11.841666666666667,Marquez Valdes-Scantling,WR,KC
130.2,11.85,Treylon Burks,WR,Ten
130.2,11.85,Tyler Allgeier,RB,Atl
130.2,11.85,Brian Robinson Jr.,RB,Was
130.4,11.866666666666667,Isaiah Spiller,RB,LAC
