player_id_sr,name,position,until
KamaAl00,Alvin Kamara,RB,3
PatrTi00,Tim Patrick,WR,17
HineNy00,Nyheim Hines,RB,17
MurrKy00,Kyler Murray,QB,4
GageRu00,Russell Gage,WR,17
FourLe00,Leonard Fournette,RB,17
WillJa11,Jameson Williams,WR,6
TaylJo02,Jonathan Taylor,RB,4
WilsJe01,Jeff Wilson,RB,4
KuppCo00,Cooper Kupp,WR,5
AndrMa00,Mark Andrews,TE,1
KelcTr00,Travis Kelce,TE,1
WatsCh00,Christian Watson,WR,1
MossZa00,Zack Moss,RB,1
DobbJK00,J.K. Dobbins,RB,17
RodgAa00,Aaron Rodgers,QB,17
JohnDi01,Diontae Johnson,WR,4
DulcGr00,Greg Dulcich,TE,4
EkelAu00,Austin Ekeler,RB,3
BarkSa00,Saquon Barkley,RB,3
ChubNi00,Nick Chubb,RB,17
AiyuBr00,Brandon Aiyuk,WR,3
RichAn03,Anthony Richardson,QB,3
WillJa06,Jamaal Williams,RB,3
EdmoCh00,Chase Edmonds,RB,8
HillJu00,Justice Hill,RB,3
BeckOd00,Odell Beckham Jr.,WR,3
