season,week,team_1,team_2,score_1,score_2
2021,15,The Adam's Family,The Algorithm,54.28,119.45
2021,15,Football Cream,Sunday ShNoz,115.8,101.46
2021,16,Wankstas,Sunday ShNoz,126.16,65.86
2021,16,The Adam's Family,69ers,119.6,98.24
2021,17,Sunday ShNoz,69ers,0,0
2022,15,Crotch de Fuego,Chase-ing a Dream,90.44,92.3
2022,15,Christian Murder Force,69ers,103.46,117.74
2022,16,Crotch de Fuego,The Sofa Kings,85.6,90.8
2022,16,Christian Murder Force,All About the D,82.8,114.08
2022,17,Crotch de Fuego,Christian Murder Force,71.86,126
2023,15,The Algorithm,Thats so Ravens,92.1,75.12
2023,15,Wankstas,Crotch de Fuego,73.62,106.46
2023,16,Football Cream,Wankstas,95.02,74.7
2023,16,To infinity and Bijan,Thats so Ravens,89,91.76
2023,17,Wankstas,To infinity and Bijan,73.88,96.22
2024,15,The Algorithm,69ers,0,0
2024,15,Nabers know my name,The Patty Melts,0,0
