name,new_name
Kerrith Whyte Jr.,Kerrith Whyte Jr
Will Fuller V,Will Fuller
Seth DeValve,Seth Devalve
DK Metcalf,D.K. Metcalf
Josh Dobbs,Joshua Dobbs
Phillip Dorsett II,Phillip Dorsett
JoJo Natson,Jojo Natson
Allen Robinson II,Allen Robinson
Darrell Henderson Jr.,Darrell Henderson
DJ Moore,D.J. Moore
Willie Snead IV,Willie Snead
Paul Richardson Jr.,Paul Richardson
Todd Gurley II,Todd Gurley
Mark Ingram II,Mark Ingram
Dwayne Haskins Jr.,Dwayne Haskins
Melvin Gordon III,Melvin Gordon
Wayne Gallman Jr.,Wayne Gallman
Marvin Jones Jr.,Marvin Jones
Lance Lenoir Jr.,Lance Lenoir
Richie James Jr.,Richie James
Steven Sims Jr.,Steven Sims
Jeff Wilson Jr.,Jeff Wilson
John Ross III,John Ross
Van Jefferson Jr.,Van Jefferson
Scotty Miller,Scott Miller
JaMycal Hasty,Jamycal Hasty
Eli Mitchell,Elijah Mitchell
Larry Rountree III,Larry Rountree
William Fuller V,Will Fuller
Panthers D/ST,CAR
Washington D/ST,WAS
Buccaneers D/ST,TAM
49ers D/ST,SFO
Steelers D/ST,PIT
Saints D/ST,NOR
Patriots D/ST,NWE
Vikings D/ST,MIN
Dolphins D/ST,MIA
Rams D/ST,LAR
Colts D/ST,IND
Packers D/ST,GNB
Broncos D/ST,DEN
Browns D/ST,CLE
Bears D/ST,CHI
Bills D/ST,BUF
Jaguars D/ST,JAX
Seahawks D/ST,SEA
Cardinals D/ST,ARI
Eagles D/ST,PHI
Raiders D/ST,OAK
Chiefs D/ST,KAN
Titans D/ST,TEN
Lions D/ST,DET
Cowboys D/ST,DAL
Bengals D/ST,CIN
Falcons D/ST,ATL
Ravens D/ST,BAL
Jets D/ST,NYJ
Texans D/ST,HOU
Chargers D/ST,LAC
Giants D/ST,NYG
Jakeem Grant Sr.,Jakeem Grant
Robbie Anderson,Robby Anderson
Joshua Palmer,Josh Palmer
Gabe Davis,Gabriel Davis
Travis Etienne Jr.,Travis Etienne
Brian Robinson,Brian Robinson Jr.
DJ Chark Jr.,DJ Chark
Tony Jones Jr.,Tony Jones
Pierre Strong Jr.,Pierre Strong
Gardner Minshew,Gardner Minshew II
Mecole Hardman Jr.,Mecole Hardman
Ronald Jones,Ronald Jones II
Mitch Trubisky,Mitchell Trubisky
Ray-Ray McCloud III,Ray-Ray McCloud
John Metchie III,John Metchie
Lynn Bowden,Lynn Bowden Jr.
Keelan Cole Sr.,Keelan Cole
Kenneth Barber,Peyton Barber
Donald Parham Jr.,Donald Parham
Demetric Felton Jr.,Demetric Felton
Marvin Mims Jr.,Marvin Mims
Calvin Austin III,Calvin Austin
Chris Rodriguez Jr,Chris Rodriguez
Patrick Mahomes II,Patrick Mahomes
Chris Rodriguez Jr.,Chris Rodriguez
Robbie Chosen,Chosen Anderson
PJ Walker,P.J. Walker
Deebo Samuel Sr.,Deebo Samuel
Hollywood Brown,Marquise Brown
Brian Thomas Jr.,Brian Thomas
Chig Okonkwo,Chigoziem Okonkwo
Michael Penix Jr.,Michael Penix
DeMario Douglas,Demario Douglas
Tyrone Tracy Jr.,Tyrone Tracy
