league_id,name,category
976248332924379136,#SFB13 Chips Ahoy,sweet snack
976247571075125248,#SFB13 Hubba Bubba,sweet snack
976242580620951552,#SFB13 Jelly Belly,sweet snack
976240736616099840,#SFB13 Popsicle,sweet snack
976236503741292544,#SFB13 Snickers,sweet snack
976233993299353600,#SFB13 PEZ,sweet snack
976233229600493568,#SFB13 SweeTarts,sweet snack
976232981373272064,#SFB13 Tootsie Roll,sweet snack
976232193984888832,#SFB13 Jolly Ranchers,sweet snack
976227792155148288,#SFB13 Dunkaroos,sweet snack
976226564113235968,#SFB13 Ben & Jerry's ,sweet snack
976219580588716032,#SFB13 Swedish Fish,sweet snack
976216732891217920,#SFB13 Hershey,sweet snack
976216479219732480,#SFB13 Oreo,sweet snack
976214916296187904,#SFB13 Skittles,sweet snack
976244225882783744,#SFB13 Blow Pop,sweet snack
976258270845370368,#SFB13 McVitie's,sweet snack
976260981057781760,#SFB13 Dole Whip,sweet snack
976259809760555008,#SFB13 Cheerios ,salty snack
976259167998586880,#SFB13 Spam ,salty snack
976248666883194880,#SFB13 Bugles,salty snack
976242821336215552,#SFB13 Fritos,salty snack
976237611394158592,#SFB13 Jack Links,salty snack
976230945437114368,#SFB13 Takis,salty snack
976229376545161216,#SFB13 Cheetos,salty snack
976219061782634496,#SFB13 Doritos,salty snack
976218191045152768,#SFB13 Goldfish,salty snack
976207827024896000,#SFB13 Cheez-It,salty snack
976258086736314368,#SFB13 Walkers,salty snack
976261660400783360,#SFB13 Charley's Philly Steaks,real restaurant
976260651259613184,#SFB13 Sci-Fi,real restaurant
976259355953651712,#SFB13 Lion's Tap,real restaurant
976255678144700416,#SFB13 Jason's Deli ,real restaurant
976254331211001856,#SFB13 Gino's East,real restaurant
976254160767131648,#SFB13 Giordano's ,real restaurant
976253935210078208,#SFB13 Uno Pizzeria ,real restaurant
976241663775420416,#SFB13 Roscoe's,real restaurant
976241505134329856,#SFB13 Randy's Donuts,real restaurant
976219968872243200,#SFB13 Moe's Southwest Grill,real restaurant
976246493029965824,#SFB13 Logan's Roadhouse ,real restaurant
976245979819098112,#SFB13 Miller's Ale House,real restaurant
976245561852477440,#SFB13 Mission BBQ,real restaurant
976256654289289216,#SFB13 Ben's Chili Bowl,real restaurant
976250964711657472,#SFB13 Hungry Howie's Pizza,real restaurant
976250675539587072,#SFB13 Jack's Family Restaurants,real restaurant
